kernel,reference rows,train rows,test rows,part,site,"P,R",test time (in loop)
linear,200,500,215,0,1,"P=0.9474, R=0.99",2.3594
linear,200,500,215,0,2,"P=0.9431, R=0.995",0.1101
linear,200,500,215,1,1,"P=0.9804, R=1.0",0.144
linear,200,500,215,1,2,"P=0.9756, R=1.0",0.1292
linear,200,500,215,2,1,"P=0.9804, R=1.0",0.1475
linear,200,500,215,2,2,"P=0.9804, R=1.0",0.137
linear,200,500,2000,0,1,"P=0.9157, R=0.989",2.3541
linear,200,500,2000,0,2,"P=0.9064, R=0.9925",1.9664
linear,200,500,2000,1,1,"P=0.8306, R=1.0",2.2079
linear,200,500,2000,1,2,"P=0.821, R=1.0",2.1252
linear,200,500,2000,2,1,"P=0.8576, R=1.0",2.0908
linear,200,500,2000,2,2,"P=0.8606, R=1.0",2.0797
linear,200,500,5000,0,1,"P=0.9014, R=0.9896",14.9458
linear,200,500,5000,0,2,"P=0.886, R=0.9936",12.8366
linear,200,500,5000,1,1,"P=0.7964, R=1.0",13.7743
linear,200,500,5000,1,2,"P=0.7876, R=1.0",12.6866
linear,200,500,5000,2,1,"P=0.8091, R=1.0",12.6045
linear,200,500,5000,2,2,"P=0.8106, R=1.0",12.2692
linear,200,500,10000,0,1,"P=0.824, R=0.9904",53.8113
linear,200,500,10000,0,2,"P=0.805, R=0.9939",54.8361
linear,200,500,10000,1,1,"P=0.7466, R=1.0",51.5626
linear,200,500,10000,1,2,"P=0.7349, R=1.0",51.6337
linear,200,500,10000,2,1,"P=0.7527, R=1.0",49.5973
linear,200,500,10000,2,2,"P=0.7405, R=1.0",52.6695
linear,200,2000,858,0,1,"P=0.9796, R=0.96",0.5353
linear,200,2000,858,0,2,"P=0.9806, R=0.9518",0.532
linear,200,2000,858,1,1,"P=0.9768, R=1.0",0.4313
linear,200,2000,858,1,2,"P=0.9744, R=1.0",0.4471
linear,200,2000,858,2,1,"P=0.9852, R=1.0",0.4674
linear,200,2000,858,2,2,"P=0.9804, R=1.0",0.4382
linear,200,2000,2000,0,1,"P=0.9692, R=0.96",2.4175
linear,200,2000,2000,0,2,"P=0.9656, R=0.9545",2.2133
linear,200,2000,2000,1,1,"P=0.9217, R=1.0",2.2187
linear,200,2000,2000,1,2,"P=0.9183, R=1.0",2.0131
linear,200,2000,2000,2,1,"P=0.9311, R=1.0",2.1767
linear,200,2000,2000,2,2,"P=0.9268, R=1.0",2.0772
linear,200,2000,5000,0,1,"P=0.9625, R=0.9633",15.6076
linear,200,2000,5000,0,2,"P=0.9565, R=0.9578",13.6514
linear,200,2000,5000,1,1,"P=0.9114, R=1.0",13.448
linear,200,2000,5000,1,2,"P=0.9078, R=1.0",12.5315
linear,200,2000,5000,2,1,"P=0.9127, R=1.0",13.6522
linear,200,2000,5000,2,2,"P=0.9114, R=1.0",12.5449
linear,200,2000,10000,0,1,"P=0.9488, R=0.963",59.6695
linear,200,2000,10000,0,2,"P=0.9212, R=0.9584",60.4791
linear,200,2000,10000,1,1,"P=0.882, R=1.0",54.3401
linear,200,2000,10000,1,2,"P=0.8747, R=1.0",56.3583
linear,200,2000,10000,2,1,"P=0.8903, R=1.0",54.8767
linear,200,2000,10000,2,2,"P=0.8731, R=1.0",55.4137
linear,2000,500,215,0,1,"P=0.9476, R=0.995",0.1398
linear,2000,500,215,0,2,"P=0.939, R=1.0",0.1398
linear,2000,500,215,1,1,"P=0.9804, R=1.0",0.149
linear,2000,500,215,1,2,"P=0.9804, R=1.0",0.1357
linear,2000,500,215,2,1,"P=0.9804, R=1.0",0.1517
linear,2000,500,215,2,2,"P=0.9804, R=1.0",0.1396
linear,2000,500,2000,0,1,"P=0.9216, R=0.988",2.2969
linear,2000,500,2000,0,2,"P=0.9076, R=0.992",1.8568
linear,2000,500,2000,1,1,"P=0.8511, R=1.0",2.2086
linear,2000,500,2000,1,2,"P=0.8453, R=1.0",2.1298
linear,2000,500,2000,2,1,"P=0.8606, R=1.0",2.1979
linear,2000,500,2000,2,2,"P=0.8658, R=1.0",1.9962
linear,2000,500,5000,0,1,"P=0.9029, R=0.9884",14.3338
linear,2000,500,5000,0,2,"P=0.889, R=0.9934",12.2645
linear,2000,500,5000,1,1,"P=0.8143, R=1.0",12.9046
